3	46
76	4
92	64
52	65
36	8
84	67
44	33
14	94
63	13
12	68
64	78
64	2
98	41
48	62
33	23
15	26
3	17
83	23
52	58
9	30
14	7
95	6
73	74
100	81
52	89
70	97
90	59
61	69
52	16
91	12
87	31
90	81
0	87
27	68
40	47
42	91
49	14
50	40
45	72
95	25
75	30
38	53
3	71
91	62
76	21
25	20
48	29
22	32
50	21
12	27
55	20
42	83
2	17
11	10
93	63
2	71
2	22
84	82
65	76
46	76
43	95
20	96
36	75
51	11
32	93
53	82
82	2
38	59
55	76
19	12
30	35
55	0
96	78
92	99
89	1
12	85
15	68
35	62
4	78
14	31
31	0
81	69
50	70
29	59
36	54
68	50
95	48
43	58
70	45
52	94
88	15
92	3
15	58
64	88
99	36
39	27
82	53
89	46
35	55
89	33
29	20
30	79
13	41
71	63
79	84
96	39
11	23
19	59
35	15
43	20
34	42
18	54
5	30
53	6
63	29
19	12
55	10
41	27
2	89
90	42
36	28
43	55
17	40
55	59
45	8
90	84
23	32
79	29
83	53
19	95
70	73
3	53
23	80
16	36
93	84
18	98
24	62
70	47
50	59
9	87
71	77
33	97
12	4
66	86
14	87
3	49
63	13
87	11
84	84
76	22
100	45
72	85
57	4
65	100
45	21
65	55
9	10
10	24
58	6
93	71
81	34
76	25
41	95
40	72
14	96
77	13
46	62
54	81
82	3
69	99
4	50
92	73
45	6
37	50
5	60
0	64
71	2
1	36
50	68
72	75
46	56
48	98
9	95
33	92
64	19
83	26
2	6
35	42
76	2
68	78
40	99
42	85
3	16
10	57
97	14
94	54
38	72
97	73
25	92
21	9
59	51
85	79
58	9
25	13
80	56
5	2
89	55
59	15
88	100
76	44
52	8
90	87
100	51
9	89
71	7
46	35
45	42
88	12
68	79
39	0
65	89
74	44
59	95
5	74
90	50
71	87
10	75
1	91
65	95
55	65
62	66
99	72
52	37
28	26
25	1
51	41
14	72
61	29
6	5
22	38
29	21
98	27
13	88
33	61
88	52
21	7
19	76
42	13
12	99
100	21
39	94
91	59
70	54
49	31
23	12
94	97
31	7
33	40
90	43
22	66
6	54
61	52
52	16
59	69
78	18
14	55
64	41
5	96
51	75
4	85
21	98
86	62
11	70
12	77
11	59
47	45
22	38
64	99
80	44
74	68
59	77
49	27
58	44
4	65
85	79
58	70
65	17
52	57
48	7
45	75
13	42
26	49
70	9
88	98
4	5
0	93
96	42
88	37
56	55
95	29
8	26
77	15
69	14
83	18
95	70
53	84
48	71
73	24
25	3
99	57
35	41
4	70
86	36
38	53
63	3
49	92
4	49
69	6
100	13
90	91
63	90
3	35
51	41
8	32
33	80
95	38
12	32
12	54
94	76
49	63
12	3
48	41
87	13
74	10
76	99
18	99
98	50
44	10
59	4
71	55
99	71
42	0
9	42
93	14
43	91
98	24
14	87
34	6
92	73
64	24
90	56
79	99
81	86
10	43
18	11
50	19
9	19
30	85
4	19
60	3
53	90
95	35
39	74
38	90
5	78
93	61
69	31
69	56
98	20
75	63
69	95
6	18
51	73
46	59
45	16
7	59
4	6
91	43
94	4
60	21
36	58
91	5
75	59
66	57
5	54
87	45
22	79
38	48
25	98
37	13
72	35
91	51
24	98
84	95
18	15
74	71
5	71
56	93
22	42
45	12
2	48
38	99
5	15
18	99
91	98
66	70
32	10
34	27
85	73
26	16
67	66
49	64
15	75
53	3
36	20
5	13
92	97
35	93
81	85
67	65
47	68
42	38
0	29
11	75
41	82
90	90
10	53
50	62
86	3
12	65
75	62
99	77
60	30
56	76
59	7
10	24
51	91
43	89
6	69
38	58
65	21
81	34
24	27
49	21
31	34
38	75
99	74
24	49
78	40
43	92
45	58
46	89
91	83
11	52
59	83
52	39
7	20
7	58
13	44
6	41
61	63
99	37
41	97
97	92
75	9
41	10
84	64
91	89
43	6
17	87
17	31
7	61
46	26
23	1
88	41
89	81
62	92
12	49
26	25
9	50
82	67
61	97
64	68
4	77
100	0
65	31
82	49
51	42
46	82
88	23
25	33
28	72
66	95
92	98
91	18
8	52
69	58
55	20
94	53
55	2
77	12
31	17
65	5
22	36
22	22
23	43
93	16
15	50
49	19
67	85
88	94
16	47
44	79
8	79
70	3
71	31
36	83
90	97
3	15
56	7
70	74
68	67
75	40
38	87
90	28
48	47
80	51
81	24
53	97
61	38
46	65
2	72
44	62
15	76
83	37
74	65
52	92
88	2
41	87
4	56
15	87
96	6
79	78
24	24
48	53
68	17
88	67
83	30
37	95
24	84
89	83
28	22
83	67
31	76
20	79
79	57
38	90
30	28
0	41
76	77
21	44
93	93
45	77
29	35
72	98
64	79
